date,rf
19911231,0.0407
19920131,0.038
19920229,0.0384
19920331,0.0404
19920430,0.0375
19920531,0.0363
19920630,0.0366
19920731,0.0321
19920831,0.0313
19920930,0.0291
19921031,0.0286
19921130,0.0313
19921231,0.0322
19930131,0.03
19930228,0.0293
19930331,0.0295
19930430,0.0287
19930531,0.0296
19930630,0.0307
19930731,0.0304
19930831,0.0302
19930930,0.0295
19931031,0.0302
19931130,0.031
19931231,0.0306
19940131,0.0298
19940228,0.0325
19940331,0.035
19940430,0.0368
19940531,0.0414
19940630,0.0414
19940731,0.0433
19940831,0.0448
19940930,0.0462
19941031,0.0495
19941130,0.0529
19941231,0.056
19950131,0.0571
19950228,0.0577
19950331,0.0573
19950430,0.0565
19950531,0.0567
19950630,0.0547
19950731,0.0542
19950831,0.054
19950930,0.0528
19951031,0.0528
19951130,0.0536
19951231,0.0514
19960131,0.05
19960229,0.0483
19960331,0.0496
19960430,0.0495
19960531,0.0502
19960630,0.0509
19960731,0.0515
19960831,0.0505
19960930,0.0509
19961031,0.0499
19961130,0.0503
19961231,0.0491
19970131,0.0503
19970228,0.0501
19970331,0.0514
19970430,0.0516
19970531,0.0505
19970630,0.0493
19970731,0.0505
19970831,0.0514
19970930,0.0495
19971031,0.0497
19971130,0.0514
19971231,0.0516
19980131,0.0504
19980228,0.0509
19980331,0.0503
19980430,0.0495
19980531,0.05
19980630,0.0498
19980731,0.0496
19980831,0.049
19980930,0.0461
19981031,0.0396
19981130,0.0441
19981231,0.0439
19990131,0.0434
19990228,0.0444
19990331,0.0444
19990430,0.0429
19990531,0.045
19990630,0.0457
19990731,0.0455
19990831,0.0472
19990930,0.0468
19991031,0.0486
19991130,0.0507
19991231,0.052
20000131,0.0532
20000229,0.0555
20000331,0.0569
20000430,0.0566
20000531,0.0579
20000630,0.0569
20000731,0.0596
20000831,0.0609
20000930,0.06
20001031,0.0611
20001130,0.0617
20001231,0.0577
20010131,0.0515
20010228,0.0488
20010331,0.0442
20010430,0.0387
20010531,0.0362
20010630,0.0349
20010731,0.0351
20010831,0.0336
20010930,0.0264
20011031,0.0216
20011130,0.0187
20011231,0.0169
20020131,0.0165
20020228,0.0172
20020331,0.0179
20020430,0.0171
20020531,0.0173
20020630,0.017
20020731,0.0168
20020831,0.0162
20020930,0.0163
20021031,0.0158
20021130,0.0123
20021231,0.0119
20030131,0.0117
20030228,0.0117
20030331,0.0113
20030430,0.0113
20030531,0.0107
20030630,0.0092
20030731,0.009
20030831,0.0095
20030930,0.0094
20031031,0.0092
20031130,0.0093
20031231,0.009
20040131,0.0088
20040229,0.0093
20040331,0.0094
20040430,0.0094
20040531,0.0102
20040630,0.0127
20040731,0.0133
20040831,0.0148
20040930,0.0165
20041031,0.0176
20041130,0.0207
20041231,0.0219
20050131,0.0233
20050228,0.0254
20050331,0.0274
20050430,0.0278
20050531,0.0284
20050630,0.0297
20050731,0.0322
20050831,0.0344
20050930,0.0342
20051031,0.0371
20051130,0.0388
20051231,0.0389
20060131,0.0424
20060228,0.0443
20060331,0.0451
20060430,0.046
20060531,0.0472
20060630,0.0479
20060731,0.0495
20060831,0.0496
20060930,0.0481
20061031,0.0492
20061130,0.0494
20061231,0.0485
20070131,0.0498
20070228,0.0503
20070331,0.0494
20070430,0.0487
20070531,0.0473
20070630,0.0461
20070731,0.0482
20070831,0.042
20070930,0.0389
20071031,0.039
20071130,0.0327
20071231,0.03
20080131,0.0275
20080229,0.0212
20080331,0.0126
20080430,0.0129
20080531,0.0173
20080630,0.0186
20080731,0.0163
20080831,0.0172
20080930,0.0113
20081031,0.0067
20081130,0.0019
20081231,0.0003
20090131,0.0013
20090228,0.003
20090331,0.0021
20090430,0.0016
20090531,0.0018
20090630,0.0018
20090731,0.0018
20090831,0.0017
20090930,0.0012
20091031,0.0007
20091130,0.0005
20091231,0.0005
20100131,0.0006
20100228,0.0011
20100331,0.0015
20100430,0.0016
20100531,0.0016
20100630,0.0012
20100731,0.0016
20100831,0.0016
20100930,0.0015
20101031,0.0013
20101130,0.0014
20101231,0.0014
20110131,0.0015
20110228,0.0013
20110331,0.001
20110430,0.0006
20110531,0.0004
20110630,0.0004
20110731,0.0004
20110831,0.0002
20110930,0.0001
20111031,0.0002
20111130,0.0001
20111231,0.0001
20120131,0.0003
20120229,0.0009
20120331,0.0008
20120430,0.0008
20120531,0.0009
20120630,0.0009
20120731,0.001
20120831,0.001
20120930,0.0011
20121031,0.001
20121130,0.0009
20121231,0.0007
20130131,0.0007
20130228,0.001
20130331,0.0009
20130430,0.0006
20130531,0.0004
20130630,0.0005
20130731,0.0004
20130831,0.0004
20130930,0.0002
20131031,0.0005
20131130,0.0007
20131231,0.0007
20140131,0.0004
20140228,0.0005
20140331,0.0005
20140430,0.0003
20140531,0.0003
20140630,0.0004
20140731,0.0003
20140831,0.0003
20140930,0.0002
20141031,0.0002
20141130,0.0002
20141231,0.0003
20150131,0.0003
20150228,0.0002
20150331,0.0003
20150430,0.0002
20150531,0.0002
20150630,0.0002
20150731,0.0003
20150831,0.0007
20150930,0.0002
20151031,0.0002
20151130,0.0012
20151231,0.0023
20160131,0.0026
20160229,0.0031
20160331,0.0029
20160430,0.0023
20160531,0.0027
20160630,0.0027
20160731,0.003
20160831,0.003
20160930,0.0029
20161031,0.0033
20161130,0.0045
20161231,0.0051
20170131,0.0051
20170228,0.0052
20170331,0.0074
20170430,0.008
20170531,0.0089
20170630,0.0098
20170731,0.0107
20170831,0.0101
20170930,0.0103
20171031,0.0107
20171130,0.0123
20171231,0.0132
20180131,0.0141
20180228,0.0157
20180331,0.017
20180430,0.0176
20180531,0.0186
20180630,0.019
20180731,0.0196
20180831,0.0203
20180930,0.0213
20181031,0.0225
20181130,0.0233
20181231,0.0237
20190131,0.0237
20190228,0.0239
20190331,0.024
20190430,0.0238
20190531,0.0235
20190630,0.0217
20190731,0.021
20190831,0.0195
20190930,0.0189
20191031,0.0165
20191130,0.0154
20191231,0.0154
20200131,0.0152
20200229,0.0152
20200331,0.0029
20200430,0.0014
20200531,0.0013
20200630,0.0016
20200731,0.0013
20200831,0.001
20200930,0.0011
20201031,0.001
20201130,0.0009
20201231,0.0009
20210131,0.0008
20210228,0.0004
20210331,0.0003
20210430,0.0002
20210531,0.0002
20210630,0.0004
20210731,0.0005
20210831,0.0005
20210930,0.0004
20211031,0.0005
20211130,0.0005
